File Name,Object,Material,Poisson Ratio,Young's Modulus,Force,Axis Fixed,,,Point of Application,,,,,
,,,,,100-200 N,x,y,z,x,y,z,,,
cube_00001,cube,Silicone Rubber,0.47,0.001,100,0,1,0,0,0,0.2,,,
cube_00002,cube,Silicone Rubber,0.47,0.001,100,0,1,0,0,0.04,0.2,,,
cube_00003,cube,Silicone Rubber,0.47,0.001,100,0,1,0,0,0.02,0.2,,,
cube_00004,cube,Silicone Rubber,0.47,0.001,100,0,1,0,0,0.06,0.2,,,
cube_00005,cube,Silicone Rubber,0.47,0.001,100,0,1,0,0,0.08,0.2,,,
cube_00006,cube,Silicone Rubber,0.47,0.001,100,0,1,0,0,0.1,0.2,,,
cube_00007,cube,Silicone Rubber,0.47,0.001,200,0,1,0,0,0,0.2,,,
cube_00008,cube,Silicone Rubber,0.47,0.001,200,0,1,0,0,0.04,0.2,,,
cube_00009,cube,Silicone Rubber,0.47,0.001,200,0,1,0,0,0.02,0.2,,,
cube_00010,cube,Silicone Rubber,0.47,0.001,200,0,1,0,0,0.06,0.2,,,
cube_00011,cube,Silicone Rubber,0.47,0.001,200,0,1,0,0,0.08,0.2,,,
cube_00012,cube,Silicone Rubber,0.47,0.001,300,0,1,0,0,0.1,0.2,,,
cube_00013,cube,Silicone Rubber,0.47,0.001,300,0,1,0,-0.04,0.0157,0.2,,,
cube_00014,cube,Silicone Rubber,0.47,0.001,300,0,1,0,-0.067,0.08,0.2,,,
cube_00015,cube,Silicone Rubber,0.47,0.001,300,0,1,0,-0.054,-0.02,0.2,,,
cube_00016,cube,Silicone Rubber,0.47,0.001,300,0,1,0,0.08,0.01,0.2,,,
cube_00017,cube,Silicone Rubber,0.47,0.001,300,0,1,0,0.01,-0.05,0.2,,,
cube_00018,cube,Silicone Rubber,0.47,0.001,400,0,1,0,0.05,-0.05,0.2,,,
cube_00019,cube,Silicone Rubber,0.47,0.001,400,0,1,0,0.02,0.02,0.2,,,
cube_00020,cube,Silicone Rubber,0.47,0.001,400,0,1,0,0.06,0.09,0.2,,,
cube_00021,cube,Silicone Rubber,0.47,0.001,400,0,1,0,0.1,-0.08,0.2,,,
cube_00022,cube,Silicone Rubber,0.47,0.001,400,0,1,0,-0.04,0.09,0.2,,,
cube_00023,cube,Silicone Rubber,0.47,0.001,400,0,1,0,0.03,-0.1,0.2,,,
cube_00024,cube,Silicone Rubber,0.47,0.001,200,0,1,0,0.04,0.02,0.2,,,
cube_00025,cube,Silicone Rubber,0.47,0.001,,0,1,0,,,,,,
cube_00026,cube,Silicone Rubber,0.47,0.001,,0,1,0,,,,,,
cube_00027,cube,Silicone Rubber,0.47,0.001,,0,1,0,,,,,,
cube_00028,cube,Silicone Rubber,0.47,0.001,,0,1,0,,,,,,
cube_00029,cube,Silicone Rubber,0.47,0.001,,0,1,0,,,,,,
cube_00030,cube,Silicone Rubber,0.47,0.001,,0,1,0,,,,,,
cube_00031,cube,Silicone Rubber,0.47,0.001,,0,1,0,,,,,,
cube_00032,cube,Silicone Rubber,0.47,0.001,,0,1,0,,,,,,
cube_00033,cube,Silicone Rubber,0.47,0.001,,0,1,0,,,,,,
cube_00034,cube,Silicone Rubber,0.47,0.001,,0,1,0,,,,,,
cube_00035,cube,Silicone Rubber,0.47,0.001,,0,1,0,,,,,,
cube_00036,cube,Silicone Rubber,0.47,0.001,,0,1,0,,,,,,
cube_00037,cube,Silicone Rubber,0.47,0.001,,0,1,0,,,,,,
cube_00038,cube,Silicone Rubber,0.47,0.001,,0,1,0,,,,,,
cube_00039,cube,Silicone Rubber,0.47,0.001,,0,1,0,,,,,,
cube_00040,cube,Silicone Rubber,0.47,0.001,,0,1,0,,,,,,
cube_00041,cube,Silicone Rubber,0.49,0.001,,0,1,0,,,,,,
cube_00042,cube,Silicone Rubber,0.49,0.001,,0,1,0,,,,,,
cube_00043,cube,Silicone Rubber,0.49,0.001,,0,1,0,,,,,,
cube_00044,cube,Silicone Rubber,0.49,0.001,,0,1,0,,,,,,
cube_00045,cube,Silicone Rubber,0.49,0.001,,0,1,0,,,,,,
cube_00046,cube,Silicone Rubber,0.48,0.001,,0,1,0,,,,,,
cube_00047,cube,Silicone Rubber,0.48,0.001,,0,1,0,,,,,,
cube_00048,cube,Silicone Rubber,0.48,0.001,,0,1,0,,,,,,
cube_00049,cube,Clay,0.4,0.05,300,0,1,0,0.045,0.076,0.2,,,0.1
cube_00050,cube,Clay,0.4,0.05,450,0,1,0,0.015,0.056,0.2,,,0.1
cube_00051,cube,Clay,0.4,0.05,600,0,1,0,-0.015,0.056,0.2,,,0.1
cube_00052,cube,Clay,0.4,0.05,800,0,1,0,-0.075,-0.03,-0.2,,,-0.1
cube_00053,cube,Clay,0.4,0.075,200,0,1,0,-0.095,0.02,-0.2,,,-0.1
cube_00054,cube,Clay,0.4,0.075,400,0,1,0,-0.02,0.065,0.2,,,0.1
cube_00055,cube,Clay,0.4,0.075,600,0,1,0,0.013,0.077,0.2,,,0.1
cube_00056,cube,Clay,0.4,0.075,900,0,1,0,0.03,-0.07,-0.2,,,-0.1
cube_00057,cube,Clay,0.4,0.1,800,0,1,0,0.03,0.09,0.2,,,0.1
cube_00058,cube,Clay,0.4,0.1,1000,0,1,0,0.045,-0.045,-0.2,,,-0.1
cube_00059,cube,Clay,0.4,0.1,1200,0,1,0,0.095,0.015,0.2,,,0.1
cube_00060,cube,Clay,0.4,0.1,1400,0,1,0,0.067,0.065,0.2,,,0.1
cube_00061,cube,Clay,0.41,0.05,800,0,1,0,0.025,-0.025,-0.2,,,-0.1
cube_00062,cube,Clay,0.41,0.05,1200,0,1,0,0.035,-0.015,-0.2,,,-0.1
cube_00063,cube,Clay,0.41,0.05,1500,0,1,0,0.038,-0.085,0.2,,,0.1
cube_00064,cube,Clay,0.41,0.05,1600,0,1,0,-0.044,0.077,0.2,,,0.1
